Batch	Flag	MMS	OCLC	Details	Title
	EDIT-245Ind2	99383818096306576	(OCoLC)1352487115	245 Ind2: 0 Title: An Extreme Killing :	
	EDIT-264-missing-©	99383818096306576	(OCoLC)1352487115	2024	
	CHECK-Series490-traced	99383835397006576	(OCoLC)1344494837	Series statement (traced): IMS studies on culture and society series ;volume 12	
	CHECK-Multi050	99383839705206576	(OCoLC)1368273991	050-1: BS1830.E7R425 2023 050-2: BS1700.S78 v.27	Rediscovering Enoch? : the antediluvian past from the fifteenth to nineteenth centuries / edited by Ariel Hessayon, Annette Yoshiko Reed, Gabriele Boccaccini.
	CHECK-Series490-traced	99383839705206576	(OCoLC)1368273991	Series statement (traced): Studia in veteris testamenti pseudepigrapha,0169-8125 ;volume 27	
	EDIT-Contents	99383839705206576	(OCoLC)1368273991	Enhance Contents Field	
	CHECK-ENCODING	99383841205106576	(OCoLC)33885722	Encoding level: 0	Negative dialectics / by Theodor W. Adorno ; translated by E.B. Ashton.
	CHECK-ENCODING	99383843894406576		Encoding level: 7	Cumulative Impact and Other Disruption Claims in Construction.
	EDIT-ISBN_20a-to-z	99383843894406576		020a: 1621377393 (electronic bk.)	
	CHECK-Multi050	99383843895306576	(OCoLC)1346350074	050-1: Q182.3.R54 2023 050-2: Q182.3.R5413 2023	Split and splice : a phenomenology of experimentation / Hans-Jörg Rheinberger.
	CHECK-Series490-traced	99383843896306576	(OCoLC)1355641934	Series statement (traced): A nation divided: studies in the Civil War era	
	CHECK-ENCODING	99383843899706576		Encoding level: 7	Journalism and the Russo-Japanese War: The End of the Golden Age of Combat Correspondence.
	CHECK-ENCODING	99383843900406576	(OCoLC)617445677	Encoding level: 0	The development of law and legal institutions among the Cherokees / by Thomas Lee Ballenger ; introduction by Chad Smith.
	CHECK-ENCODING	99383843900506576	(OCoLC)721085649	Encoding level: 0	The Cherokee syllabary : writing the people's perseverance / Ellen Cushman.
	CHECK-Series490-traced	99383843900506576	(OCoLC)721085649	Series statement (traced): American Indian Literature and Critical Studies series ;v. 56	
	CHECK-Multi050	99383843901606576	(OCoLC)1331703651	050-1: BL2747.3.G56 2022 050-2: BL2747.G56 2022	Global sceptical publics : from non-religious print media to 'digital atheism' / edited by Jacob Copeman and Mascha Schulz.
	CHECK-ENCODING	99383843901906576	(OCoLC)950901632	Encoding level: i	Women's life in Greece and Rome : a source book in translation / Mary R. Lefkowitz and Maureen B. Fant.
	CHECK-Series490-traced	99383843904206576	(OCoLC)1350913886	Series statement (traced): Theatre makers	
	CHECK-Series490-traced	99383844195406576	(OCoLC)1378389196	Series statement (traced): Women in Africa and the diaspora	
	CHECK-Series490-traced	99383846602106576	(OCoLC)1319346012	Series statement (traced): American crossroads ;67	
	CHECK-Series490-traced	99383847205106576	(OCoLC)1382252288	Series statement (traced): Connected Histories in the Early Modern World	
	CHECK-Series490-traced	99383848702706576	(OCoLC)1346152852	Series statement (traced): Harvard-Yenching Institute monograph series ;137	
	CHECK-Series490-traced	99383848702806576	(OCoLC)1337144578	Series statement (traced): Translations from the Asian classics	
	CHECK-Series490-traced	99383848703106576	(OCoLC)1266220556	Series statement (traced): Harvard-Yenching Institute monograph series ;131	
	CHECK-ENCODING	99383850003906576		Encoding level: 7	An Indigenous Present / edited by Gibson, Jeffrey.
	CHECK-ENCODING	99383850102706576	(OCoLC)1137859033	Encoding level: i	The selected works of Audre Lorde / edited and with an introduction by Roxane Gay.
	CHECK-ENCODING	99383853504806576	(OCoLC)49699103	Encoding level: a	Essays on the Moral Philosophy of Mengzi / edited with introduction by Xiusheng Liu and Philip J. Ivanhoe.
	CHECK-ENCODING	99383853704606576	(OCoLC)807025765	Encoding level: 0	The rise of Western Christendom : triumph and diversity, A.D. 200-1000 / Peter Brown.
	CHECK-Series490-traced	99383853704606576	(OCoLC)807025765	Series statement (traced): The making of Europe	
	CHECK-Series490-traced	99383854003506576	(OCoLC)1356890522	Series statement (traced): Social histories of medicine	
	CHECK-ENCODING	99383854490506576		Encoding level: 7	A Handbook of Anthropometry.
	CHECK-ENCODING	99383856083806576	(OCoLC)08265428	Encoding level: 0	1984 : a novel / by George Orwell ; with an afterword by Erich Fromm.
	EDIT-Series490-untraced	99383856083806576	(OCoLC)08265428	Series statement (untraced): A Signet classic ;CE 1626	
	CHECK-ENCODING	99383856095606576	(OCoLC)885254915	Encoding level: i	Viruses and man : a history of interactions / Milton W. Taylor.
	EDIT-ISBN_20a-to-z	99383856095606576	(OCoLC)885254915	020a: 9783319077581 (electronic bk.)	
	EDIT-ISBN_20a-to-z	99383856095606576	(OCoLC)885254915	020a: 3319077589 (electronic bk.)	
	CHECK-NonPrint	99383856095606576	(OCoLC)885254915	Check Bib record	Viruses and man : a history of interactions / Milton W. Taylor.
	CHECK-ENCODING	99383864977306576		Encoding level: 7	Never Let Me Go.
	CHECK-ENCODING	99383864977806576		Encoding level: 7	Les Morlaques.
	CHECK-Series490-traced	99383864978706576	(OCoLC)1113020181	Series statement (traced): Penguin vitae	
	CHECK-ENCODING	99383864978806576	(OCoLC)1035459503	Encoding level: i	Always coming home / Ursula K. Le Guin ; Brian Attebery, editor.
	CHECK-Series490-traced	99383864978806576	(OCoLC)1035459503	Series statement (traced): The Library of America ;315	
	CHECK-ENCODING	99383864979006576	(OCoLC)32744040	Encoding level: a	Flowers for Algernon / Daniel Keyes.
	EDIT-440	99383864979006576	(OCoLC)32744040	Series, obsolete field: A Harcourt Brace modern classic	
	CHECK-ENCODING	99383864979806576	(OCoLC)860755391	Encoding level: 0	Novels, 1976-1985 / Kurt Vonnegut ; Sidney Offit, editor.
	EDIT-264-missing-©	99383864979806576	(OCoLC)860755391	2014	
	CHECK-Series490-traced	99383864979806576	(OCoLC)860755391	Series statement (traced): The Library of America ;252	
	CHECK-ENCODING	99383864980806576	(OCoLC)908262495	Encoding level: i	The business affairs of Mr Julius Caesar / Bertolt Brecht ; translated by Charles Osborne ; edited by Anthony Phelan and Tom Kuhn with assistance from Charlotte Ryland.
	CHECK-ENCODING	99383864981306576	(OCoLC)570375531	Encoding level: 0	Emma / Jane Austen ; edited with an introduction and notes by Fiona Stafford.
	CHECK-Series490-traced	99383864981306576	(OCoLC)570375531	Series statement (traced): Penguin classics	
	CHECK-ENCODING	99383864981706576	(OCoLC)946058579	Encoding level: 0	Neuromancer / William Gibson ; series introduction by Neil Gaiman.
	CHECK-Series490-traced	99383864981706576	(OCoLC)946058579	Series statement (traced): Penguin classics	
	CHECK-Series490-traced	99383864981706576	(OCoLC)946058579	Series statement (traced): Penguin galaxy	
	CHECK-MultipleSeries490	99383864981706576	(OCoLC)946058579	Check Bib record	Neuromancer / William Gibson ; series introduction by Neil Gaiman.
	CHECK-Series490-traced	99383864982206576	(OCoLC)426793710	Series statement (traced): Everyman's library ;326	
	CHECK-URL	99383864982206576	(OCoLC)426793710	http://catdir.loc.gov/catdir/enhancements/fy1008/2010292813-s.html	
	CHECK-URL	99383864982206576	(OCoLC)426793710	http://catdir.loc.gov/catdir/enhancements/fy1008/2010292813-t.html	
	CHECK-ENCODING	99383864982306576	(OCoLC)724649002	Encoding level: 0	The Hunchback of Notre-dame / Victor Hugo ; with an introduction by Jean-Marc Hovasse.
	CHECK-Series490-traced	99383864982306576	(OCoLC)724649002	Series statement (traced): Everyman's library ;345	
	CHECK-ENCODING	99383864982706576	(OCoLC)55068110	Encoding level: a	The general in his labyrinth : a novel / Gabriel García Márquez ; translated and introduced by Edith Grossman.
	EDIT-Series490-untraced	99383864982706576	(OCoLC)55068110	Series statement (untraced): Everyman's library (Alfred A. Knopf, Inc.) ;282FTaSU	
	EDIT-Series490-untraced	99383864982706576	(OCoLC)55068110	Series statement (untraced): Everyman's library ;282FU	
	CHECK-MultipleSeries490	99383864982706576	(OCoLC)55068110	Check Bib record	The general in his labyrinth : a novel / Gabriel García Márquez ; translated and introduced by Edith Grossman.
	CHECK-ENCODING	99383864983706576	(OCoLC)56830630	Encoding level: 0	The Silmarillion / J.R.R. Tolkien ; edited by Christopher Tolkien ; illustrated by Ted Nasmith.
	CHECK-Series490-traced	99383864983806576	(OCoLC)38067553	Series statement (traced): The library of America ;103	
	CHECK-ENCODING	99383864984206576	(OCoLC)69332445	Encoding level: 0	Collected stories / Roald Dahl ; edited and introduced by Jeremy Treglown.
	CHECK-Series490-traced	99383864984206576	(OCoLC)69332445	Series statement (traced): Everyman's library ;300	
	CHECK-ENCODING	99383865103306576	(OCoLC)123421202	Encoding level: 0	Narrating the past : (re)constructing memory, (re)negotiating history / edited by Nandita Batra and Vartan P. Messier.
	CHECK-ENCODING	99383865103906576		Encoding level: 8	Delhi-Agra, India / Gurmeet Kaur, Sakoon N. Singh, Anuvinder Ahuja, Noor Dasmesh Singh.
	EDIT-Series490-untraced	99383865103906576		Series statement (untraced): Natural stone and World Heritage	
	CHECK-ENCODING	99383865496106576	(OCoLC)32511029	Encoding level: 0	The Makioka sisters / Junichiro Tanizaki ; translated from the Japanese by Edward G. Seidensticker.
	CHECK-ENCODING	99383865496206576	(OCoLC)919000163	Encoding level: 0	The miner / by Natsume Sōseki ; translated from the Japanese, with an afterword, by Jay Rubin ; introduction by Haruki Murakami.
	EDIT-Geo	99383865496206576	(OCoLC)919000163	No Geo Code; Check Bib Record for Geo Headings	The miner / by Natsume Sōseki ; translated from the Japanese, with an afterword, by Jay Rubin ; introduction by Haruki Murakami.
	CHECK-ENCODING	990205650720306576	(OCoLC)45270754	Encoding level: a	SAS system for regression / Rudolf J. Freund, Ramon C. Littell.
	EDIT-440	990205650720306576	(OCoLC)45270754	Series, obsolete field: Wiley series in probability and statistics	
	EDIT-Series490-untraced	990205650720306576	(OCoLC)45270754	Series statement (untraced): Wiley series in probability and statisticsFPeU	
	CHECK-ENCODING	990206154180306576	(OCoLC)555658419	Encoding level: a	Pride and prejudice : an annotated edition / Jane Austen ; edited by Patricia Meyer Spacks.
