Batch	Flag	MMS	OCLC	Details	Title
	EDIT-245Ind1	99383800402606576	(OCoLC)1182856052	245 Ind1: 0	Freedom & prostitution / Cassandra Troyan.
	EDIT-245Ind1	99383835396906576	(OCoLC)1342621625	245 Ind1: 0	The archaeology of wild birds in Britain and Ireland / Dale Serjeantson.
	Find OCLC	99383839705206576		Bib has no OCLC num	Rediscovering Enoch? : the antediluvian past from the fifteenth to nineteenth centuries / edited by Ariel Hessayon, Annette Yoshiko Reed, Gabriele Boccaccini.
	CHECK-Multi050	99383839705206576		050-1: BS1830.E7R425 2023 050-2: BS1700.S78 v.27	Rediscovering Enoch? : the antediluvian past from the fifteenth to nineteenth centuries / edited by Ariel Hessayon, Annette Yoshiko Reed, Gabriele Boccaccini.
	EDIT-245Ind1	99383839705206576		245 Ind1: 1	Rediscovering Enoch? : the antediluvian past from the fifteenth to nineteenth centuries / edited by Ariel Hessayon, Annette Yoshiko Reed, Gabriele Boccaccini.
	CHECK-Series490-traced	99383839705206576		Series statement (traced): Studia in veteris testamenti pseudepigrapha,0169-8125 ;volume 27	
	EDIT-Contents	99383839705206576		Enhance Contents Field	
	Find OCLC	99383841205006576		Bib has no OCLC num	Reassessing epistemic images in the early modern world / edited by Ruth Sargent Noyes.
	EDIT-245Ind1	99383841205006576		245 Ind1: 1	Reassessing epistemic images in the early modern world / edited by Ruth Sargent Noyes.
	CHECK-Series490-traced	99383841205006576		Series statement (traced): Scientiae studies ;3	
	CHECK-Multi050	99383843895306576	(OCoLC)1346350074	050-1: Q182.3.R54 2023 050-2: Q182.3.R5413 2023	Split and splice : a phenomenology of experimentation / Hans-Jörg Rheinberger.
	EDIT-245Ind1	99383843895906576	(OCoLC)905699693	245 Ind1: 0	Conducting hermeneutic research : from philosophy to practice / Nancy J. Moules, Graham P. McCaffrey, James C. Field, Catherine M. Laing.
	CHECK-Series490-traced	99383843895906576	(OCoLC)905699693	Series statement (traced): Critical qualitative research,1947-5993 ;vol. 19	
	EDIT-245Ind1	99383843896006576	(OCoLC)1079058686	245 Ind1: 0	Philosophy for us / edited by Lenny Clapp.
	CHECK-Series490-traced	99383843897406576	(OCoLC)1227817176	Series statement (traced): Media, culture and communication in Asia-Pacific societies	
	EDIT-Geo	99383843897806576	(OCoLC)1347781340	No Geo Code; Check Bib Record for Geo Headings	Data borders : how Silicon Valley is building an industry around immigrants / Melissa Villa-Nicholas.
	CHECK-ENCODING	99383843900006576	(OCoLC)1224045037	Encoding level: i	Prelude to Pearl Harbor : ideology and culture in US-Japan relations, 1919-1941 / John Gripentrog.
	CHECK-ENCODING	99383843900406576	(OCoLC)617445677	Encoding level: 0	The development of law and legal institutions among the Cherokees / by Thomas Lee Ballenger ; introduction by Chad Smith.
	Has_$5	99383843900406576	(OCoLC)617445677	Field with $5 :500	
	CHECK-Series490-traced	99383843900606576	(OCoLC)978560946	Series statement (traced): The Penguin history of the United States	
	CHECK-Series490-traced	99383843901106576	(OCoLC)1380460094	Series statement (traced): Supplements to the journal for the study of Judaism,1384-2161 ;209	
	CHECK-Multi050	99383843901606576	(OCoLC)1331703651	050-1: BL2747.3.G56 2022 050-2: BL2747.G56 2022	Global sceptical publics : from non-religious print media to 'digital atheism' / edited by Jacob Copeman and Mascha Schulz.
	CHECK-100-INDICATOR	99383843901606576	(OCoLC)1331703651	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383843901606576	(OCoLC)1331703651	245 Ind1: 0	Global sceptical publics : from non-religious print media to 'digital atheism' / edited by Jacob Copeman and Mascha Schulz.
	EDIT-Series490-untraced	99383843901706576	(OCoLC)1330404116	Series statement (untraced): Oxford handbooks in religion and theology	
	CHECK-ENCODING	99383843901906576	(OCoLC)950901632	Encoding level: i	Women's life in Greece and Rome : a source book in translation / Mary R. Lefkowitz and Maureen B. Fant.
	CHECK-Series490-traced	99383843904206576	(OCoLC)1350913886	Series statement (traced): Theatre makers	
	CHECK-Series490-traced	99383844195406576	(OCoLC)1378389196	Series statement (traced): Women in Africa and the diaspora	
	CHECK-ENCODING	99383845703006576	(OCoLC)768606918	Encoding level: 0	Biological oceanography / Charles B. Miller and Patricia A. Wheeler.
	CHECK-100-INDICATOR	99383845704606576	(OCoLC)1266220527	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383845704606576	(OCoLC)1266220527	245 Ind1: 0	No humans involved / Erin Cristovale ; with contributions by Anthony Bogues, Zakiyyah Iman Jackson, and Sylvia Wynter.
	CHECK-ENCODING	99383845705306576	(OCoLC)1099528779	Encoding level: 0	Vitality politics : health, debility, and the limits of black emancipation / Stephen Knadler.
	CHECK-Series490-traced	99383845705306576	(OCoLC)1099528779	Series statement (traced): Corporealities : discourses of disability	
	CHECK-Series490-traced	99383846602106576	(OCoLC)1319346012	Series statement (traced): American crossroads ;67	
	CHECK-ENCODING	99383846605006576	(OCoLC)1263250947	Encoding level: i	A place at the Nayarit : how a Mexican restaurant nourished a community / Natalia Molina.
	CHECK-Series490-traced	99383847205306576	(OCoLC)1355805197	Series statement (traced): Rochester studies in medical history,1526-2715[52]	
	CHECK-100-INDICATOR	99383848702706576	(OCoLC)1346152852	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383848702706576	(OCoLC)1346152852	245 Ind1: 0	Literary history in and beyond China : reading text and world / edited by Sarah M. Allen, Jack W. Chen, and Xiaofei Tian.
	CHECK-Series490-traced	99383848702706576	(OCoLC)1346152852	Series statement (traced): Harvard-Yenching Institute monograph series ;137	
	CHECK-Series490-traced	99383848702806576	(OCoLC)1337144578	Series statement (traced): Translations from the Asian classics	
	CHECK-Multi050	99383848703406576	(OCoLC)1295617344	050-1: DS504.5.B44 2022 050-2: Z3001.B44 2022	Beyond the book : unique and rare primary sources for East Asian studies collected in North America / Jidong Yang, editor.
	CHECK-100-INDICATOR	99383848703406576	(OCoLC)1295617344	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383848703406576	(OCoLC)1295617344	245 Ind1: 0	Beyond the book : unique and rare primary sources for East Asian studies collected in North America / Jidong Yang, editor.
	CHECK-Series490-traced	99383848703406576	(OCoLC)1295617344	Series statement (traced): Asia past & present: new research from AAS ;number 16	
	CHECK-Series490-traced	99383850000906576	(OCoLC)1355779648	Series statement (traced): Atlantic migrations and the African diaspora	
	CHECK-ENCODING	99383850001606576	(OCoLC)957533621	Encoding level: 0	Daniel Rudd : calling a church to justice / Gary B. Agee.
	CHECK-Series490-traced	99383850001606576	(OCoLC)957533621	Series statement (traced): People of God	
	CHECK-ENCODING	99383850001806576	(OCoLC)268547454	Encoding level: a	Uncommon faithfulness : the Black Catholic experience / M. Shawn Copeland, editor ; with LaReine-Marie Mosely and Albert J. Raboteau.
	Has_$5	99383850001806576	(OCoLC)268547454	Field with $5 :505	
	CHECK-Series490-traced	99383850303806576	(OCoLC)1330889038	Series statement (traced): Sanskrit texts from the Tibetan Autonomous Region (STARR) ;No. 23	
	CHECK-100-INDICATOR	99383853402506576	(OCoLC)1289264547	Ind1:  , Ind2:  	
	CHECK-Series490-traced	99383853402506576	(OCoLC)1289264547	Series statement (traced): Oxford world's classics	
	CHECK-Series490-traced	99383853405206576	(OCoLC)1371485682	Series statement (traced): Early American histories	
	CHECK-ENCODING	99383853704606576	(OCoLC)807025765	Encoding level: 0	The rise of Western Christendom : triumph and diversity, A.D. 200-1000 / Peter Brown.
	CHECK-Series490-traced	99383853704606576	(OCoLC)807025765	Series statement (traced): The making of Europe	
	CHECK-100-INDICATOR	99383854492906576	(OCoLC)896791614	Ind1:  , Ind2:  	
	CHECK-Series490-traced	99383854702906576	(OCoLC)1396158203	Series statement (traced): Norton shorts	
	CHECK-ENCODING	99383856072906576	(OCoLC)41520225	Encoding level: 0	Breakfast of champions ; or, Goodbye blue Monday! / by Kurt Vonnegut ; with drawings by the author.
	Has_$5	99383856072906576	(OCoLC)41520225	Field with $5 :500	
	CHECK-Series490-traced	99383864978106576	(OCoLC)1151752115	Series statement (traced): The Library of America ;338	
	CHECK-Series490-traced	99383864978206576	(OCoLC)1180012317	Series statement (traced): The Cambridge edition of the works of Virginia Woolf	
	CHECK-ENCODING	99383864978806576	(OCoLC)1035459503	Encoding level: i	Always coming home / Ursula K. Le Guin ; Brian Attebery, editor.
	CHECK-Series490-traced	99383864978806576	(OCoLC)1035459503	Series statement (traced): The Library of America ;315	
	EDIT-245Ind1	99383865104106576	(OCoLC)1054834932	245 Ind1: 0	Natural stone and World Heritage : Salamanca (Spain) / [edited by] Dolores Pereira, Department of Geology, University of Salamanca, Salamanca, Spain.
	EDIT-Series490-untraced	99383865104106576	(OCoLC)1054834932	Series statement (untraced): National stone and world heritage,2640-0162 ;volume 1	
