Batch	Flag	MMS	OCLC	Details	Title
	CHECK-Cataloging Language	99383818096206576		040-b: 	Rethinking smart cities / Zaheer Allam.
	CHECK-Cataloging Language	99383818096706576		040-b: 	Thinking with type [electronic resource] : a critical guide for designers, writers, editors, & students / Ellen Lupton.
	EDIT-ISBN_20a-to-z	99383818096706576		020a: 9781568989693 (alk. paper)	
	EDIT-264-missing-©	99383818096706576		�2010.	
	CHECK-Cataloging Language	99383818097106576		040-b: 	The copywrights [electronic resource] : intellectual property and the literary imagination / Paul K. Saint-Amour.
	EDIT-Geo	99383818097106576		No Geo Code; Check Bib Record for Geo Headings	The copywrights [electronic resource] : intellectual property and the literary imagination / Paul K. Saint-Amour.
	CHECK-ENCODING	99383818097606576		Encoding level: 7	Retrieval of materials with water separation machines / by Sarah E. Peterson ; with contributions by Philip P. Betancourt.
	CHECK-Cataloging Language	99383818097606576		040-b: 	Retrieval of materials with water separation machines / by Sarah E. Peterson ; with contributions by Philip P. Betancourt.
	CHECK-Series490-traced	99383818097606576		Series statement (traced): INSTAP archaeological excavation manual ;1	
	CHECK-ENCODING	99383818097706576		Encoding level: 3	Remote Pilot Test Prep 2022 : Study & Prepare: Pass your Part 107 test and know what is essential to safely operate an unmanned aircraft from the most trusted source in aviation training.
	CHECK-Cataloging Language	99383818097706576		040-b: 	Remote Pilot Test Prep 2022 : Study & Prepare: Pass your Part 107 test and know what is essential to safely operate an unmanned aircraft from the most trusted source in aviation training.
	CHECK-Series490-traced	99383818097706576		Series statement (traced): ASA Test Prep Series	
	CHECK-Cataloging Language	99383818098006576	(OCoLC)213487204	040-b: 	Neuropsychology of memory [electronic resource] / edited by Larry R. Squire, Daniel L. Schacter.
	EDIT-ISBN_20a-to-z	99383818098006576	(OCoLC)213487204	020a: 1572307315 (hard : alk. paper)	
	CHECK-100-INDICATOR	99383818098006576	(OCoLC)213487204	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818098006576	(OCoLC)213487204	245 Ind1: 0	Neuropsychology of memory [electronic resource] / edited by Larry R. Squire, Daniel L. Schacter.
	CHECK-Cataloging Language	99383818098506576		040-b: 	Jews in Berlin / Andreas Nachama, Julius H. Schoeps, Hermann Simon ; translated by Michael S. Cullen, Allison Brown, Cindy Opitz.
	CHECK-100-INDICATOR	99383818098506576		Ind1:  , Ind2:  	
	EDIT-Geo	99383818098506576		No Geo Code; Check Bib Record for Geo Headings	Jews in Berlin / Andreas Nachama, Julius H. Schoeps, Hermann Simon ; translated by Michael S. Cullen, Allison Brown, Cindy Opitz.
	CHECK-Cataloging Language	99383818098606576		040-b: 	International organizations : the politics and processes of global governance / Margaret P. Karns, Karen A. Mingst and Kendall W. Stiles.
	CHECK-Cataloging Language	99383818099006576		040-b: 	Routledge handbook of cultural sociology / edited by Laura Grindstaff, Ming-Cheng Lo, John R. Hall.
	CHECK-100-INDICATOR	99383818099006576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818099006576		245 Ind1: 0	Routledge handbook of cultural sociology / edited by Laura Grindstaff, Ming-Cheng Lo, John R. Hall.
	CHECK-Series490-traced	99383818099006576		Series statement (traced): Routledge international handbooks	
	CHECK-ENCODING	99383818099506576		Encoding level: 3	Database design using entity-relationship diagrams [electronic resource] / Sikha Saha Bagui, Richard Walsh Earp.
	CHECK-Cataloging Language	99383818099506576		040-b: 	Database design using entity-relationship diagrams [electronic resource] / Sikha Saha Bagui, Richard Walsh Earp.
	EDIT-Series490-untraced	99383818099506576		Series statement (untraced): Foundations of database design	
	CHECK-Cataloging Language	99383818099606576		040-b: 	Complexity's embrace : the international law implications of Brexit / editors, Oonagh E. Fitzgerald, Eva Lein.
	CHECK-100-INDICATOR	99383818099606576		Ind1:  , Ind2:  	
	EDIT-245Ind1	99383818099606576		245 Ind1: 0	Complexity's embrace : the international law implications of Brexit / editors, Oonagh E. Fitzgerald, Eva Lein.
	CHECK-ENCODING	99383818099906576		Encoding level: 7	Amilla : the quest for excellence : studies presented to Guenter Kopcke in celebration of his 75th birthday / edited by Robert B. Koehl.
	CHECK-Cataloging Language	99383818099906576		040-b: 	Amilla : the quest for excellence : studies presented to Guenter Kopcke in celebration of his 75th birthday / edited by Robert B. Koehl.
	CHECK-100-INDICATOR	99383818099906576		Ind1:  , Ind2:  	
	EDIT-Geo	99383818099906576		No Geo Code; Check Bib Record for Geo Headings	Amilla : the quest for excellence : studies presented to Guenter Kopcke in celebration of his 75th birthday / edited by Robert B. Koehl.
	EDIT-245Ind1	99383818099906576		245 Ind1: 0	Amilla : the quest for excellence : studies presented to Guenter Kopcke in celebration of his 75th birthday / edited by Robert B. Koehl.
	CHECK-Series490-traced	99383818099906576		Series statement (traced): Prehistory monographs ;43	
	CHECK-Cataloging Language	99383818100206576		040-b: 	CyberStrong : a primer on cyber risk management for business managers / Ajay Singh.
	CHECK-Cataloging Language	99383827701706576		040-b: 	Fighter, worker, and family man : German-Jewish men and their gendered experiences in Nazi Germany, 1933-1941 / Sebastian Huebel.
	CHECK-Multi050	99383827701706576		050-1: DS134.255 050-2: DS134.23	Fighter, worker, and family man : German-Jewish men and their gendered experiences in Nazi Germany, 1933-1941 / Sebastian Huebel.
	EDIT-Geo	99383827701706576		No Geo Code; Check Bib Record for Geo Headings	Fighter, worker, and family man : German-Jewish men and their gendered experiences in Nazi Germany, 1933-1941 / Sebastian Huebel.
	EDIT-Series490-untraced	99383827701706576		Series statement (untraced): German and European studies ;43	
	CHECK-Series490-traced	99383843567006576	(OCoLC)1264401535	Series statement (traced): Palgrave studies in literature, science and medicine	
	CHECK-Cataloging Language	99383843590906576	(OCoLC)1120096720	040-b: 	Toward translingual realities in composition : (re)working local language representations and practices / Nancy Bou Ayash.
	CHECK-Cataloging Language	99383843600106576		040-b: 	The handbook of market research for life science companies : finding the answers you need to understand your market / by Jean-Francois Denault.
	CHECK-Cataloging Language	99383843600206576	(OCoLC)1302011218	040-b: 	CEO excellence : the six mindsets that distinguish the best leaders from the rest / Carolyn Dewar, Scott Keller, Vikram Malhotra.
	CHECK-ENCODING	99383843895206576		Encoding level: 3	Advances in Experimental Philosophy of Action [electronic resource].
	CHECK-Cataloging Language	99383843895206576		040-b: 	Advances in Experimental Philosophy of Action [electronic resource].
