Batch	Flag	MMS	OCLC	Details	Title
	CHECK-100-INDICATOR	99383840403006576	(OCoLC)752287022	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383840403006576	(OCoLC)752287022	245 Ind1: 0	The community development reader / edited by James DeFilippis and Susan Saegert.
	CHECK-Multi050	99383843895306576	(OCoLC)1346350074	050-1: Q182.3.R54 2023 050-2: Q182.3.R5413 2023	Split and splice : a phenomenology of experimentation / Hans-Jörg Rheinberger.
	CHECK-Series490-traced	99383843896306576	(OCoLC)1355641934	Series statement (traced): A nation divided: studies in the Civil War era	
	EDIT-Geo	99383843897806576	(OCoLC)1347781340	No Geo Code; Check Bib Record for Geo Headings	Data borders : how Silicon Valley is building an industry around immigrants / Melissa Villa-Nicholas.
	CHECK-Series490-traced	99383843900506576	(OCoLC)721085649	Series statement (traced): American Indian Literature and Critical Studies series ;v. 56	
	CHECK-100-INDICATOR	99383843904306576	(OCoLC)1281238058	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383843904306576	(OCoLC)1281238058	245 Ind1: 0	Theater in a post-truth world : text, politics, and performance / edited by William C. Boles.
	EDIT-Series490-untraced	99383843904306576	(OCoLC)1281238058	Series statement (untraced): Methuen Drama agitations: text, politics and performances	
	CHECK-Series490-traced	99383845705306576	(OCoLC)1099528779	Series statement (traced): Corporealities : discourses of disability	
	CHECK-Series490-traced	99383847205306576	(OCoLC)1355805197	Series statement (traced): Rochester studies in medical history,1526-2715[52]	
	CHECK-Series490-traced	99383848702806576	(OCoLC)1337144578	Series statement (traced): Translations from the Asian classics	
	CHECK-Series490-traced	99383848703106576	(OCoLC)1266220556	Series statement (traced): Harvard-Yenching Institute monograph series ;131	
	CHECK-Series490-traced	99383850001606576	(OCoLC)957533621	Series statement (traced): People of God	
	EDIT-245Ind1	99383850003906576	(OCoLC)1379056296	245 Ind1: 0	An Indigenous present / edited by Jeffrey Gibson [and Jenelle Porter]
	CHECK-Series490-traced	99383853404506576	(OCoLC)1372624298	Series statement (traced): Black Lives in the diaspora : Past/present/future	
	CHECK-Series490-traced	99383853405206576	(OCoLC)1371485682	Series statement (traced): Early American histories	
	CHECK-100-INDICATOR	99383853505006576	(OCoLC)1345460648	Ind1:  , Ind2:  	
	EDIT-245Ind1	99383853505006576	(OCoLC)1345460648	245 Ind1: 0	Whose America? : U.S. immigration policy since 1980 / edited by Maria Cristina Garcia and Maddalena Marinari.
	CHECK-Series490-traced	99383854003506576	(OCoLC)1356890522	Series statement (traced): Social histories of medicine	
	CHECK-ENCODING	99383854490506576		Encoding level: 7	A Handbook of Anthropometry.
	Find OCLC	99383854490506576		Bib has no OCLC num	A Handbook of Anthropometry.
	CHECK-Cataloging Language	99383854490506576		040-b: 	A Handbook of Anthropometry.
	CHECK-100-INDICATOR	99383854492906576	(OCoLC)896791614	Ind1:  , Ind2:  	
	EDIT-Series490-untraced	99383856083806576	(OCoLC)08265428	Series statement (untraced): A Signet classic ;CE 1626	
	EDIT-ISBN_20a-to-z	99383856095606576	(OCoLC)885254915	020a: 9783319077581 (electronic bk.)	
	EDIT-ISBN_20a-to-z	99383856095606576	(OCoLC)885254915	020a: 3319077589 (electronic bk.)	
	CHECK-NonPrint	99383856095606576	(OCoLC)885254915	Check Bib record	Viruses and man : a history of interactions / Milton W. Taylor.
	CHECK-Series490-traced	99383856095706576	(OCoLC)907948558	Series statement (traced): Current topics in neurotoxicity,2363-9563	
	CHECK-NonPrint	99383856095706576	(OCoLC)907948558	Check Bib record	Immunology and psychiatry : from basic research to therapeutic interventions / Norbert Müller, Aye-Mu Myint, Markus J. Schwarz, editors.
	CHECK-Series490-traced	99383857302706576	(OCoLC)1369277739	Series statement (traced): Elements	
	CHECK-Series490-traced	99383858802706576	(OCoLC)219990246	Series statement (traced): Cambridge tracts in mathematics	
	CHECK-Series490-traced	99383864977706576	(OCoLC)1255596300	Series statement (traced): Everyman's library ;405	
	CHECK-Series490-traced	99383864978206576	(OCoLC)1180012317	Series statement (traced): The Cambridge edition of the works of Virginia Woolf	
	CHECK-Series490-traced	99383864978706576	(OCoLC)1113020181	Series statement (traced): Penguin vitae	
	CHECK-Series490-traced	99383864978906576	(OCoLC)1105199889	Series statement (traced): Everyman's library ;388	
	CHECK-Cataloging Language	99383864979006576	(OCoLC)32744040	040-b: 	Flowers for Algernon / Daniel Keyes.
	EDIT-440	99383864979006576	(OCoLC)32744040	Series, obsolete field: A Harcourt Brace modern classic	
	CHECK-Cataloging Language	99383864979206576	(OCoLC)10047765	040-b: 	Cloud nine / by Caryl Churchill.
	CHECK-Series490-traced	99383864979706576	(OCoLC)965595447	Series statement (traced): Critical insights	
	Has_$5	99383864980206576	(OCoLC)699763918	Field with $5 :490	
