MMS	Field_035	Title	Field_540
	ybp12934980	99988208802	From museum critique to the critical museum / edited by Katarzyna Murawska-Muthesius, Piotr Piotrowski.	HERE IS A 540!!!.
	ybp15642999	99988209031	Improving sustainability in the hospitality industry / Frans Melissen and Lieke Sauer.	HERE IS A 540!!!.
	ebc1588909	99988209496	Rethinking Chicana/o literature through food : postnational appetites / edited by Nieves Pascual Soler and Meredith E. Abarca.	HERE IS A 540!!!.
	ebc1127645	99988209494	Rum : a global history / Richard Foss.	HERE IS A 540!!!.
	ybp17092124	40030552041	Sin sick : moral injury in war and literature / Joshua Pederson.	
	ybp14974091	99988208797	Individuality in early modern Japan : thinking for oneself / by Peter Nosco.	
	ybp15902518	99988209517	Inside book publishing / Giles Clark and Angus Phillips.	
	ebc1887760	99988209485	Value proposition design : how to create products and services customers want / Alexander Osterwalder, Yves Pigneur, Gregory Bernarda, Alan Smith ; designed by Trish Papadakos.	
	ebc1389280	99988209484	Whiskey women : the untold story of how women saved bourbon, Scotch, and Irish whiskey / Fred Minnick.	
	ebs2520811	99988208828	The agency of objects in English prose, 1789-1832 : conspicuous things / Nikolina Hatton.	
	ebs1153322	99988208818	Brown girl, brownstones / Paule Marshall ; foreword by Edwidge Danticat ; afterword by Mary Helen Washington.	
	ybp10889514	99988209510	Militancy and violence in West Africa : religion, politics and radicalisation / edited by James Gow, Funmi Olonisakin and Ernst Dijxhoorn.	
	ybp14868986	99988209505	The philosophy of well-being : an introduction / Guy Fletcher.	
	ybp302212678	40030552004	Batman saves the Congo : how celebrities disrupt the politics of development / Alexandra Cosima Budabin and Lisa Ann Richey.	
	ybp14688505	99988209503	Qualitative inquiry and the politics of research / Norman K. Denzin & Michael D. Giardina, editors.	
	ybp16211260	99988209501	Queering knowledge : analytics, devices and investments after Marilyn Strathern / edited by Paul Boyce, E.J. Gonzalez-Polledo, Silvia Posocco.	
	ybp16149951	99988209500	Reconsidering interpretation of heritage sites : America in the eighteenth century / Anne Lindsay.	
	ybp3283272	99988209488	Transnational negotiations in Caribbean diasporic literature : remitting the text / by Kezia Page.	
	ybp15682922	99988209486	Undergraduate research in dance : a guide for students / Lynnette Young Overby, Jenny Olin Shanahan, and Gregory Young.	
	ebc5588783	99988208824	Ballet matters : a cultural memoir of dance dreams and empowering realities / Jennifer Fisher.	
	ebc1693636	99988208823	Beer : a global history / Gavin D. Smith.	
	ebc4985276	99988208822	Beeronomics : how beer explains the world / Johan Swinnen and Devin Briski.	
	ebc581476	99988209032	Business model generation : a handbook for visionaries, game changers, and challengers / written by Alexander Osterwalder and Yves Pigneur ; design, Alan Smith ; editor and contributing co-author, Tim Clark ; production, Patrick van der Pijl ; co-created by an amazing crowd of 470 practitioners from 45 countries.	
	ebc5725499	99988208814	Clinical research in communication disorders : principles and strategies / M.N. Hegde, PhD, Anthony P. Salvatore, PhD.	
	ebc1124355	99988208813	Cocktails : a global history / Joseph M. Carlin.	
	ebc5631459	99988208812	Coffee : a global history / Jonathan Morris.	
	ebc6564443	99988208807	Dance and cultural diversity / Darlene O'Cadiz..	
	ebs2376126	99988208817	Cases on communication disorders in culturally diverse populations / [edited by] Diane M. Scott.	
	ebs1289260	99988208809	The Confessions of a Rum-Runner.	
	ebc6247728	99988209518	The etymological poetry of W.H. Auden, J.H. Prynne, and Paul Muldoon / Mia Gaudern.	
