IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990204635110306576	9910471898706561	04936044	m	0	500	  	$a Bound in blue cloth; stamped in yellow, black, pink, and gold, and red. $5 FTaSU $5 FU
990211237460306576	9911758550706561	43627494	m	|	500	  	$a Cover title. $5 FMFIU
990211237460306576	9911758550706561	43627494	m	|	500	  	$a Colophon and spine title: Florida's fabulous seashells and seashore life. $5 FMFIU
990211237460306576	9911758550706561	43627494	m	|	500	  	$a Includes index. $5 FMFIU
990211237460306576	9911758550706561	43627494	m	|	590	  	$a Florida Collection copy: Gift of Dr. Madrea Keeler $5 FTaSU $9 LOCAL
990211858240306576	9910567627606561	00296394	m	|	590	  	$a Special Collectionsvault copy 1 bookplate: Library of M.S. Carothers, No. 213. $5 FTaSU $9 LOCAL
990217222250306576	9910960952006561	20415549	m	0	500	  	$a Arranged by regions and counties of Florida. $5 FTaSU
990218469180306576	9910507023306561	01719873	m	1	500	  	$a The Kalki edition. $5 FFmFGC
990219640810306576	9910861020206561	11562305	m	0	500	  	$a Cover title. $5 FTaSU
990221556020306576	9910899237906561	12347588	0	0	500	  	$a On cover: Raymond's vacation excursions. Tours to Florida and Cuba. $5 FTaSU
990222769110306576	9910947442106561	00413864	m		490	0 	$a Florida State University studies, no. 42 $5 FTaSU
990222769110306576	9910947442106561	00413864	m		500	  	$a Commentary: p. 7-78. $5 FTaSU
990222769110306576	9910947442106561	00413864	m		500	  	$a The music in score: p. 83-344; with English words. $5 FTaSU
990224954930306576	9910790600606561	00959744	m	 	500	  	$a Photocopy of typescript. Ann Arbor, Mich., University Microfilms, 1980.--22 cm. $5 FTaSU
990224954930306576	9910790600606561	00959744	m	 	500	  	$a Photocopy of typescript. Ann Arbor, Mich., University Microfilms, 1980.-- 21 cm. $5 FPeU
990224954930306576	9910790600606561	00959744	m	 	500	  	$a Photocopy of typescript. Ann Arbor, Mich., University Microfilms, 1978. 21 cm. $5 FTS
990224954930306576	9910790600606561	00959744	m	 	533	  	$a Photocopy of typescript. $b Ann Arbor, Mich. : $c University Microfilms International, $d 1990. $e 21 cm. $f 64-2755. $5 FJUNF
990232658720306576	9910372899706561	01878682	m	0	500	  	$a At head of title: This is your friend, Fuller Warren. $5 FPeU
990232658720306576	9910372899706561	01878682	m	0	500	  	$a This is your friend, Fuller Warren--Caption. $5 FJUNF
990232658720306576	9910372899706561	01878682	m	0	500	  	$a Formerly in the Florida Collection, Jacksonville University Library. $5 FJUNF
990232658720306576	9910372899706561	01878682	m	0	500	  	$a Autographed. $5 FU
990240773320306576	9910670408906561	23884824	m	0	490	0 	$a American eagle and horticultural review $5 FTaSU
990240773320306576	9910670408906561	23884824	m	0	500	  	$a Historical narrative published weekly in The American Eagle and horticultural review from Nov. 6, 1947 to May 20, 1948. Vol. 42, no. 29-52; vol. 43, no. 1-5. $5 FTaSU
990240773320306576	9910670408906561	23884824	m	0	500	  	$a Two parts are each labelled as no. 7; the second should be no. 8, and the part labelled 8 should be no. 9. $5 FTaSU
990242809270306576	9910633448406561	07964192	m	c	490	0 	$a A Florida State University book $5 FTaFA $5 FMFIU $5 FTaSU
990242809270306576	9910633448406561	07964192	m	c	500	  	$a First published in 1968, reissued 1981. $5 FTaSU
990242809270306576	9910633448406561	07964192	m	c	500	  	$a 1981 reissue, with new preface. $5 FBoU
990242809270306576	9910633448406561	07964192	m	c	500	  	$a A Florida State University book. $5 FBoU
990242809270306576	9910633448406561	07964192	m	c	500	  	$a Includes index. $5 FTaFA $5 FBoU $5 FMFIU $5 FTaSU
990244024740306576	9910227201606561	01805681	m	0	500	  	$a On cover: Castillo $5 FTaSU $5 FU
990244065200306576	9910659622706561	01837038	m	|	500	  	$a Cover title. $5 FTaSU
990244065200306576	9910659622706561	01837038	m	|	500	  	$a Preface by W.J. Harris, Curator St. Augustine Historical Society and Institute of Science. $5 FTaSU
990245591140306576	9910753039106561	09307581	m	1	490	0 	$a An Inner sanctum mystery $5 FSsNC $5 FTaSU $5 FBoU
990246388430306576	9910591854806561	01845949	m	|	500	  	$a Binder's title: St. Augustine guide. $5 FU
990246388430306576	9910591854806561	01845949	m	|	500	  	$a On cover: St. Augustine: history and guide. $5 FTaSU
990246573420306576	9910975963906561	13535088	m	0	500	  	$a Typescript. $5 FTaSU
990246573420306576	9910975963906561	13535088	m	0	533	  	$a Photocopy. $b Ann Arbor, Mich. : $c University Microfilms International, $d 1985. $e 22 cm. $5 FTaSU
990248877180306576	9910883056606561	01116083	m		500	  	$a Thesis (Ph.D.)--Columbia University, 1913. $5 FTaSU
990248877180306576	9910883056606561	01116083	m		500	  	$a Published also as Studies in history, economics and public law, vol. 53, no. 131. $5 FTaSU
990249366820306576	9910831667306561	298443063	0	 	500	  	$a Includes index. $5 FTaSU
990249366820306576	9910831667306561	298443063	0	 	500	  	$a HA-1231X--10M--(17) , Pc. No. 5049861--Inside back cover. $5 FTaSU
990249366820306576	9910831667306561	298443063	0	 	590	  	$a Florida Culinary Collection. $5 FTaSU $9 LOCAL
990252733130306576	9910887652106561	136973638	0	0	590	  	$a Author signed presentation copy. $5 FTaSU $9 LOCAL
990252733130306576	9910887652106561	136973638	0	0	590	  	$a Floridiana Collection. $5 FTaSU $9 LOCAL
990253795200306576	9910781048606561	01342878	m		500	  	$a List of early county officials of Polk, DeSoto, Hardee, and Charlotte counties: p. 117-119. $5 FTaSU
990254459830306576	9910594097106561	05420088	0	0	500	  	$a Photocopy of typescript. Ann Arbor, Mich. : University Microfilms International, 1978.--22 cm. $5 FTaSU
990258287370306576	9910085514306561	01846330	m	0	500	  	$a Auspices of the Florida State Chamber of Commerce. $5 FU
990259960270306576	9910607732206561	01636532	m	0	500	  	$a This edition of Florida Bird Life contains a supplementary addendum by Alexander Sprunt, Jr., June 1963. $5 FTaSU $5 FTS
990263596280306576	9910863835806561	01849849	m	0	500	  	$a Cover title: Tallahassee area business growth and development. $5 FTaSU
990265637120306576	9910747086906561	01972008	m	0	490	0 	$a 92d Congress, 2d session. Senate. Document no. 92-56 $5 FTaSU
990274154340306576	9910712737906561	14123798	s	 	362	0 	$a Mar. 21, 1985- $5 FTaSU
990274154340306576	9910712737906561	14123798	s	 	500	  	$a The new Presbytery was formed by the former Presbytery of Suwannee and part of the former Presbytery of Northeast Florida. $5 FTaSU
990274154340306576	9910712737906561	14123798	s	 	780	00	$a Presbyterian Church (U.S.A.). Presbytery of Suwanee. $t Minutes, annual meeting of the Women of the Church, Presbytery of Suwannee $5 FTaSU
990274154340306576	9910712737906561	14123798	s	 	780	00	$a Presbyterian Church (U.S.A.). Presbytery of Northeast Florida. $t Minutes, annual meeting of the Women of the Church, Presbytery of Northeast Florida $5 FTaSU
990277380160306576	9910974672306561	02941588	m	1	500	  	$a Xerox copy of typescript; original ms. and 3 typed copies in the Southern Historical Collection of the University of North Carolina Library. $5 FTaSU
990277380160306576	9910974672306561	02941588	m	1	500	  	$a Vol. 2 has title: The autobiography of Dr. C. A. Hentz: Florida and North Carolina, May 21, 1827-1894. $5 FTaSU
990277380160306576	9910974672306561	02941588	m	1	500	  	$a Preface signed by: Charles T. Carroll, grandson of Dr. Hentz. $5 FTaSU
990277380160306576	9910974672306561	02941588	m	1	500	  	$a Index, chronology, photographs, appendix, etc. added by Charles T. Carroll. $5 FTaSU
990278726070306576	9910787346406561	03060574	m	|	500	  	$a Includes indexes. $5 FTaSU
990278986790306576	9910846776406561	50604970	0	0	500	  	$a Includes indexes. $5 FBoU $5 FTaSU
990278986790306576	9910846776406561	50604970	0	0	500	  	$a F2208--Cover p. [4]. $5 FBoU $5 FTaSU
990278986790306576	9910846776406561	50604970	0	0	500	  	$a Ordered by the Department of the South, Hilton Head, South Carolina. $5 FBoU $5 FTaSU
990284061100306576	9910628607206561	03690984	m	 	500	  	$a Vita. $5 FTaSU
990284061100306576	9910628607206561	03690984	m	 	500	  	$a Photocopy of typescript. Ann Arbor, Mich. : University Microfilms International, 1977.--22 cm. $5 FTaSU
990285366040306576	9910957700806561	15558484	m	0	500	  	$a Typescript. $5 FTaSU
990285366040306576	9910957700806561	15558484	m	0	533	  	$a Photocopy. $b Ann Arbor, MI : $c University Microfilms International, $d 1987. $e 22 cm. $5 FTaSU
990287384700306576	9910844251606561	07096087	m	|	490	1 	$a Beadle's New York dime library ; $v v. 2, no. 16 $5 FTaSU
990287384700306576	9910844251606561	07096087	m	|	500	  	$a Caption title. $5 FTaSU
990287846780306576	9910962534606561	04228752	m	0	500	  	$a Illustrated t.-p.; illustrated lining papers in colors. $5 FTaSU
990287846780306576	9910962534606561	04228752	m	0	500	  	$a First published 1938. $5 FTaSU
990289992780306576	9910783465806561	04617689	m	 	500	  	$a Vita. $5 FTaSU
990289992780306576	9910783465806561	04617689	m	 	500	  	$a Photocopy of typescript. Ann Arbor, Mich. : University Microfilms International, 1878.--22 cm. $5 FTaSU
990293705110306576	9910837112906561	05994079	m	b	500	  	$a Vita. $5 FTS $5 FTaSU
990293705110306576	9910837112906561	05994079	m	b	500	  	$a Photocopy. Ann Arbor, Mich. : University Microfilms International, 1978. -- 21 cm. $5 FTS
