IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990200448630306576	9910326440006561		m	 	490	1 	$a House document ; $v no. 98-184 $5 FMFIU $5 FTaFA
990200448630306576	9910326440006561		m	 	490	1 	$a House document ; $v 98-184 $5 FOFT $5 FTS $5 FPeU $5 FBoU $5 FU $5 FTaSU
990200448630306576	9910326440006561		m	 	926	  	$a DO NOT OFFLOAD $5 FOFT $5 FU $9 LOCAL
990200559820306576	9910386771906561		m	 	500	  	$a Distributed to depository libraries in microfiche. $5 FBoU $5 FMFIU $5 FFmFGC $5 FTaFA $5 FOFT $5 FTS $5 FTaSU $5 FU
990200559820306576	9910386771906561		m	 	500	  	$a Shipping list no.: 92-0629-M. $5 FTaSU
990200559820306576	9910386771906561		m	 	500	  	$a Microfiche. <Washington, DC> : SUPTDOCS/GPO, <1991> 2 microfiches : negative. $5 FTaSU
990200559820306576	9910386771906561		m	 	926	  	$a DO NOT OFFLOAD $5 FFmFGC $9 LOCAL
990201132500306576	9910155225906561		m	 	500	  	$a Shipping list no.: 95-0281-M. $5 FTaSU
990201132500306576	9910155225906561		m	 	500	  	$a CIS Microfiche Accession Numbers: CIS 95 H641-23 $5 FTaFA
990201132500306576	9910155225906561		m	 	500	  	$a Reuse of record except for individual research requires license from LexisNexis Academic & Library Solutions. $5 FTaFA
990201132500306576	9910155225906561		m	 	500	  	$a Microfiche. [Washington, DC : SUPTDOCS/GPO, 1995] 2 microfiches : negative ; 11 x 15 cm. $5 FTaSU
990201359510306576	9910543497506561		m	 	490	0 	$a NUREG/CR-5229 $5 FTaSU
990201359510306576	9910543497506561		m	 	500	  	$a EG&G Idaho, Inc. $5 FBoU $5 FTS $5 FTaSU $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a No longer available for sale by the Supt. of Docs. $5 FBoU $5 FTS $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a RW. $5 FBoU $5 FTS $5 FTaSU $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a EGG-2577. $5 FBoU $5 FTS $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a NUREG/CR-5229. $5 FBoU $5 FTS $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a Distributed to depository libraries in microfiche. $5 FBoU $5 FTS $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a Date published: February 1990--Vol. 2. $5 FBoU $5 FTS $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a Idaho National Engineering Laboratory. $5 FBoU $5 FTS $5 FTaSU $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a Description based on v. 2. $5 FBoU $5 FTS $5 FU
990201359510306576	9910543497506561		m	 	500	  	$a Date published: February 1990. $5 FTaSU
990201359510306576	9910543497506561		m	 	500	  	$a EGG-2577 Vol. 2. $5 FTaSU
990201359510306576	9910543497506561		m	 	500	  	$a Microfiche. [Washington, DC : SUPTDOCS/GPO, 1991] 1 microfiche : negative ; 11 x 15 cm. $5 FTaSU
990202257430306576	9910024929106561		m	 	500	  	$a Microfiche. Washington, D.C. : U.S. G.P.O., 1995. 2 microfiche : negative ; 11 x 15 cm. $5 FTaSU
990202467080306576	9910048560906561		m	 	490	0 	$a NUREG/CR-5530 $5 FTaSU
990202467080306576	9910048560906561		m	 	500	  	$a Prepared ... under contract no. DE-AC05-84OR21400. $5 FBoU $5 FTS $5 FTaSU $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a ORNL/TM-11476. $5 FBoU $5 FTS $5 FTaSU $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a NUREG/CR-5530. $5 FBoU $5 FTS $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a Date published: September 1990. $5 FBoU $5 FTS $5 FTaSU $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a No longer available for sale by the Supt. of Docs. $5 FBoU $5 FTS $5 FTaSU $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a Distributed to depository libraries in microfiche. $5 FBoU $5 FTS $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a Oak Ridge National Laboratory. $5 FBoU $5 FTS $5 FTaSU $5 FU
990202467080306576	9910048560906561		m	 	500	  	$a Microfiche. Washington, D.C. : U.S. G.P.O., 1991. 2 microfiches : negative ; 11 x 15 cm. $5 FTaSU
990202717000306576	9910014027806561		m	 	490	0 	$a NUREG-1217 $5 FTaSU
990202717000306576	9910014027806561		m	 	500	  	$a NUREG-1217. $5 FBoU $5 FMFIU $5 FTaFA $5 FTS $5 FU
990202717000306576	9910014027806561		m	 	500	  	$a Date published: June 1989. $5 FBoU $5 FMFIU $5 FTaFA $5 FTS $5 FTaSU $5 FU
990202717000306576	9910014027806561		m	 	500	  	$a No longer available for sale by the Supt. of Docs. $5 FBoU $5 FMFIU $5 FTaFA $5 FTS $5 FU
990202717000306576	9910014027806561		m	 	500	  	$a Distributed to depository libraries in microfiche. $5 FBoU $5 FMFIU $5 FTaFA $5 FTS $5 FU
990202717000306576	9910014027806561		m	 	500	  	$a Microfiche. <Washington, DC> : SUPTDOCS/GPO, <1991> 1 microfiche : negative. $5 FTaSU
