IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990200222030306576	9910259140106561	46918997	m	0	490	1 	$a S. hrg. ; $v 106-924 $5 FPeU $5 FJUNF $5 FTaFA $5 FMFIU $5 FU $5 FBoU $5 FTS $5 FOFT
990200222030306576	9910259140106561	46918997	m	0	500	  	$a Shipping list no.: 2001-0187-P. $5 FTaSU
990200222030306576	9910259140106561	46918997	m	0	500	  	$a Reuse of record except for individual research requires license from Congressional Information Service, Inc. $5 FMFIU
990200222030306576	9910259140106561	46918997	m	0	500	  	$a CIS Microfiche Accession Numbers: CIS 2001 S361-16 $5 FTaFA
990200222030306576	9910259140106561	46918997	m	0	500	  	$a Reuse of record except for individual research requires license from LexisNexis Academic & Library Solutions. $5 FTaFA
990200222030306576	9910259140106561	46918997	m	0	500	  	$a Distributed to some depository libraries in microfiche. $5 FPeU $5 FTaFA $5 FMFIU $5 FU $5 FBoU $5 FTS $5 FTaSU $5 FOFT
990200222030306576	9910259140106561	46918997	m	0	500	  	$a Shipping list no.: 2001-0193-P. $5 FPeU $5 FTaFA $5 FMFIU $5 FU $5 FBoU $5 FTS $5 FOFT
990200222030306576	9910259140106561	46918997	m	0	533	  	$a Microfiche. $b [Bethesda, Md.] : $c LexisNexis Academic & Library Solutions, $d 2001. $e negative. $5 FTaFA
990200222030306576	9910259140106561	46918997	m	0	533	  	$a Microfiche. $b [Bethesda, Md.] : $c Congressional Information Service, Inc., $d 2001. $e negative. $5 FMFIU
990200222030306576	9910259140106561	46918997	m	0	926	  	$a DO NOT OFFLOAD $5 FPeU $5 FBoU $5 FTS $5 FTaSU $5 FOFT $9 LOCAL
990201399700306576	9910543445606561	30143803	m	f	490	0 	$a NIST special publication ; $v 400-92 $5 FTaSU
990201399700306576	9910543445606561	30143803	m	f	500	  	$a Paper version no longer for sale by the Supt. of Docs. $5 FBoU $5 FMFIU $5 FOFT $5 FFmFGC $5 FTS $5 FU
990201399700306576	9910543445606561	30143803	m	f	500	  	$a Shipping list no.: 94-0057-P. $5 FBoU $5 FMFIU $5 FOFT $5 FFmFGC $5 FTS $5 FU
990201399700306576	9910543445606561	30143803	m	f	500	  	$a Distributed to depository libraries in microfiche. $5 FBoU $5 FMFIU $5 FOFT $5 FFmFGC $5 FTS $5 FU
990201399700306576	9910543445606561	30143803	m	f	500	  	$a July 1993. $5 FBoU $5 FMFIU $5 FOFT $5 FFmFGC $5 FTS $5 FTaSU $5 FU
990201399700306576	9910543445606561	30143803	m	f	500	  	$a Shipping list no.: 94-0027-M. $5 FTaSU
990201399700306576	9910543445606561	30143803	m	f	533	  	$a Microfiche. $b [Washington, D.C.?] : $c Supt. of Docs., U.S. G.P.O., $d [1994] $e 1 microfiche : negative. $5 FBoU $5 FMFIU $5 FOFT $5 FFmFGC $5 FTS $5 FTaSU $5 FU
990201399700306576	9910543445606561	30143803	m	f	926	  	$a DO NOT OFFLOAD $5 FFmFGC $9 LOCAL
990201603290306576	9910017496006561	11194054	m	f	500	  	$a Reuse of record except for individual research requires license from Congressional Information Service, Inc. $5 FMFIU
990201603290306576	9910017496006561	11194054	m	f	500	  	$a Cover title. $5 FTS
990201603290306576	9910017496006561	11194054	m	f	500	  	$a Item 1015-A, 1015-B (microfiche) $5 FTaSU
990201603290306576	9910017496006561	11194054	m	f	500	  	$a Monthly Catalog Number: gp 4024631 $5 FOFT
990201603290306576	9910017496006561	11194054	m	f	500	  	$a CIS Microfiche Accession Numbers: CIS 84 H342-5 $5 FTaFA
990201603290306576	9910017496006561	11194054	m	f	500	  	$a Reuse of record except for individual research requires license from LexisNexis Academic & Library Solutions. $5 FTaFA
990201603290306576	9910017496006561	11194054	m	f	533	  	$a Microfiche. $b [Bethesda, Md.] : $c LexisNexis Academic & Library Solutions, $d 1984. $e 11 X 15 cm. $5 FTaFA
990201603290306576	9910017496006561	11194054	m	f	533	  	$a Microfiche. $b [Bethesda, Md.] : $c Congressional Information Service, $d 1984. $e 11 X 15 cm. $5 FMFIU
990201608590306576	9910303601906561	229122458	m	0	500	  	$a Shipping list no.: 2008-0351-P; 2008-0368-P (errata). $5 FU $5 FMFIU
990201608590306576	9910303601906561	229122458	m	0	500	  	$a Errata issued, shipping list no.: 2008-368-P. $5 FTaSU
990201608590306576	9910303601906561	229122458	m	0	500	  	$a Reuse of record except for individual research requires license from ProQuest, LLC. $5 FTaFA
990201608590306576	9910303601906561	229122458	m	0	500	  	$a CIS Microfiche Accession Numbers: CIS 2008 S521-20 $5 FTaFA
990201608590306576	9910303601906561	229122458	m	0	533	  	$a Microfiche. $b [Bethesda, Md.] : $c ProQuest, $d 2008. $e negative. $5 FTaFA
990202587300306576	9910253399406561	32270603	m	 	490	1 	$a Report / 104th Congress, 1st session, House of Representatives ; $v 104-47 $5 FU $5 FTS $5 FBoU $5 FMFIU $5 FTaFA $5 FPeU $5 FTaSU
990202587300306576	9910253399406561	32270603	m	 	500	  	$a Caption title. $5 FU $5 FTS $5 FBoU $5 FMFIU $5 FTaFA $5 FPeU $5 FTaSU
990202587300306576	9910253399406561	32270603	m	 	500	  	$a Distributed to some depository libraries in microfiche. $5 FU $5 FTS $5 FBoU $5 FMFIU $5 FPeU
990202587300306576	9910253399406561	32270603	m	 	500	  	$a Shipping list no.: 94-9021-P. $5 FU $5 FTS $5 FBoU $5 FMFIU $5 FPeU
990202587300306576	9910253399406561	32270603	m	 	500	  	$a February 23, 1995. $5 FU $5 FTS $5 FBoU $5 FMFIU $5 FTaFA $5 FPeU $5 FTaSU
990202587300306576	9910253399406561	32270603	m	 	500	  	$a Reuse of record except for individual research requires license from LexisNexis Academic & Library Solutions. $5 FTaFA
990202587300306576	9910253399406561	32270603	m	 	533	  	$a Microfiche. $b [Bethesda, Md.] : $c Congressional Information Service, $d 1995. $e 11 x 15 cm. $5 FMFIU
990202587300306576	9910253399406561	32270603	m	 	500	  	$a Shipping list no.: 95-9021-P. $5 FTaSU
990202587300306576	9910253399406561	32270603	m	 	533	  	$a Microfiche. $b [Bethesda, Md.] : $c LexisNexis Academic & Library Solutions, $d 1995. $e 11 x 15 cm. $5 FTaFA
990204199810306576	9910260360306561	47778957	m	0	500	  	$a CIS Microfiche Accession Numbers: CIS 2001 H521-60 $5 FTaFA
990204199810306576	9910260360306561	47778957	m	0	500	  	$a Reuse of record except for individual research requires license from LexisNexis Academic & Library Solutions. $5 FTaFA
990204199810306576	9910260360306561	47778957	m	0	500	  	$a Reuse of record except for individual research requires license from Congressional Information Service, Inc. $5 FMFIU
990204199810306576	9910260360306561	47778957	m	0	500	  	$a Distributed to some depository libraries in microfiche. $5 FPeU $5 FTaFA $5 FMFIU $5 FU $5 FBoU $5 FTS $5 FTaSU $5 FOFT
990204199810306576	9910260360306561	47778957	m	0	500	  	$a Shipping list no.: 2001-0279-P. $5 FPeU $5 FTaFA $5 FMFIU $5 FU $5 FBoU $5 FTS $5 FOFT
990204199810306576	9910260360306561	47778957	m	0	500	  	$a Serial no. 11. $5 FPeU $5 FJUNF $5 FTaFA $5 FMFIU $5 FU $5 FBoU $5 FTS $5 FTaSU $5 FOFT
990204199810306576	9910260360306561	47778957	m	0	500	  	$a Shipping list no.: 2001-0278-P $5 FTaSU
990204199810306576	9910260360306561	47778957	m	0	530	  	$a Also available via Internet from the Committee web site. Address as of 1/21/04: http://www.house.gov/judiciary/72146.pdf; current access is available via PURL. $5 FTS
990204199810306576	9910260360306561	47778957	m	0	533	  	$a Microfiche. $b [Bethesda, Md.] : $c Congressional Information Service, Inc., $d 2001. $e negative. $5 FMFIU
990204199810306576	9910260360306561	47778957	m	0	533	  	$a Microfiche. $b [Bethesda, Md.] : $c LexisNexis Academic & Library Solutions, $d 2001. $e negative. $5 FTaFA
990204199810306576	9910260360306561	47778957	m	0	926	  	$a DO NOT OFFLOAD $5 FPeU $5 FBoU $5 FTS $5 FTaSU $5 FOFT $9 LOCAL
990204708700306576	9910103061606561	32333869	m	0	500	  	$a Reuse of record except for individual research requires license from LexisNexis Academic & Library Solutions. $5 FTaFA
990204708700306576	9910103061606561	32333869	m	0	500	  	$a CIS Microfiche Accession Numbers: CIS 95 H702-4 $5 FTaFA
990204708700306576	9910103061606561	32333869	m	0	500	  	$a Shipping list no.: 95-0122-P. $5 FTaSU
990204708700306576	9910103061606561	32333869	m	0	533	  	$a Microfiche. $b [Bethesda, Md.] : $c LexisNexis Academic & Library Solutions, $d 1995. $e 11 x 15 cm. $5 FTaFA
990207981050306576	9910496662206561	14252213	m	b	490	1 	$a A special study $5 FOFT $5 FMFIU $5 FTS $5 FTaFA $5 FU $5 FBoU $5 FTaSU
990207981050306576	9910496662206561	14252213	m	b	533	  	$a Microfiche. $b [Bethesda, Md.] : $c Congressional Information Service, $d 1986. $e 11 X 15 cm. $5 FMFIU
