IZ_MMS	NZ_MMS	OCLC	BIB_LEVEL	DOC	TAG	IND	FIELD
990204628170306576	9910461667706561	00138521	m	0	411	20	$a Archaeological Exploration of Sardis $d (1958- ). $t Monograph $v 1 $5 FTaFA
990204628170306576	9910461667706561	00138521	m	0	490	1 	$a Archaeological Exploration of Sardis (1958- ). Monograph $v 1 $5 FFmFGC $5 FSsNC $5 FMFIU
990204628170306576	9910461667706561	00138521	m	0	490	1 	$a Archaeological Exploration of Sardis monograph $v 1 $5 FTaSU
990204628170306576	9910461667706561	00138521	m	0	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990207013090306576	9910692885306561	00205005	0	0	411	20	$a Sagamore Army Materials Research Conference. $t Sagamore Army Materials Research Conference proceedings, $v 17 $5 FBoU
990207013090306576	9910692885306561	00205005	0	0	490	1 	$a Sagamore Army Materials Research Conference. Proceedings, $v 17 $5 FPeU $5 FTaSU
990207013090306576	9910692885306561	00205005	0	0	490	1 	$a Sagamore Army Materials Research Conference proceedings / Sagamore Army Materials Research Conference ; $v 17th $5 FOFT
990207013090306576	9910692885306561	00205005	0	0	490	1 	$a Sagamore Army Materials Research Conference. $a Sagamore Army Materials Research Conference proceedings, $v 17 $5 FMFIU
990207013090306576	9910692885306561	00205005	0	0	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990208057190306576	9910473811406561	00236486	0	0	411	21	$a Its $t Studies in income and wealth, $v v. 24 $5 FBoU
990208057190306576	9910473811406561	00236486	0	0	490	1 	$a Its Studies in income and wealth ; $v v. 24 $5 FSsNC $5 FTaSU $5 FU
990208057190306576	9910473811406561	00236486	0	0	500	  	$a Contains most of the papers presented at the joint sessions of the Economic History Association and the Conference on Research in Income and Wealth held in Williamstown, Massacusetss, in September 1957. $5 FMFIU $5 FSsNC $5 FTaSU $5 FU $5 FTS
990208982570306576	9910001464206561	01008189	0	0	411	21	$a Its $t Victimology: a new focus ; $v v. 1 $5 FPeU
990208982570306576	9910001464206561	01008189	0	0	490	1 	$a Its Victimology: a new focus, v. 1 $5 FSsNC $5 FMFIU $5 FTaSU $5 FU
990208982570306576	9910001464206561	01008189	0	0	500	  	$a Includes primarily papers presented at the symposium. $5 FSsNC $5 FPeU $5 FOFT $5 FMFIU $5 FTaSU $5 FU
990208982570306576	9910001464206561	01008189	0	0	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990208982950306576	9910001429806561	01008190	m	1	411	21	$a Its $t Victimology; a new focus, $v v. 2 $5 FMFIU
990208982950306576	9910001429806561	01008190	m	1	490	1 	$a Its Victimology; a new focus, v. 2 $5 FSsNC $5 FTS $5 FTaSU
990208982950306576	9910001429806561	01008190	m	1	490	1 	$a Victimology a new focus ; $v v. 2 $5 FU
990208982950306576	9910001429806561	01008190	m	1	500	  	$a Includes primarily papers presented at the symposium. $5 FSsNC $5 FPeU $5 FOFT $5 FMFIU $5 FTS $5 FTaSU $5 FU
990208983210306576	9910001450706561	01008191	0	1	411	21	$a Its $t Victimology: a new focus ; $v v. 3 $5 FPeU
990208983210306576	9910001450706561	01008191	0	1	490	0 	$a Its Victimology: a new focus, v. 3 $5 FSsNC $5 FMFIU $5 FTS $5 FTaSU $5 FU
990208983210306576	9910001450706561	01008191	0	1	500	  	$a Includes primarily papers presented at the symposium. $5 FSsNC $5 FPeU $5 FOFT $5 FMFIU $5 FTS $5 FTaSU $5 FU
990208983210306576	9910001450706561	01008191	0	1	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990208983640306576	9910001480906561	01008192	0	0	411	21	$a Its $t Victimology: a new focus ; $v v. 5 $5 FPeU
990208983640306576	9910001480906561	01008192	0	0	490	0 	$a Its Victimology: a new focus, v. 5 $5 FSsNC $5 FMFIU $5 FTS $5 FTaSU
990208983640306576	9910001480906561	01008192	0	0	500	  	$a Includes primarily papers presented at the symposium. $5 FSsNC $5 FPeU $5 FOFT $5 FMFIU $5 FTS $5 FTaSU $5 FU
990208983640306576	9910001480906561	01008192	0	0	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990219012550306576	9910429658106561	08709243	0	0	411	20	$a University of Florida Department of Classics Comparative Drama Conference. $t University of Florida Department of Classics Comparative Drama Conference papers ; $v v. 2 $5 FTS
990219012550306576	9910429658106561	08709243	0	0	490	1 	$a The University of Florida Department of Classics comparative drama conference papers ; $v v. 2 $5 FPeU $5 FTaSU $5 FU
990219161740306576	9910919509606561	00525806	0	|	411	20	$a International Colloquium in the Philosophy of Science $d (1965 : $c Bedford College) $t Proceedings, $v v. 3 $5 FTS
990219161740306576	9910919509606561	00525806	0	|	411	21	$a Its $t Proceedings, $v v.3 $5 FMFIU
990219161740306576	9910919509606561	00525806	0	|	490	1 	$a Its Proceedings, v. 3 $5 FTaSU
990219161740306576	9910919509606561	00525806	0	|	500	  	$a Studies in logic and the foundations of mathematics. $5 FTaSU
990219161740306576	9910919509606561	00525806	0	|	500	  	$a Organized jointly by the British Society for the Philosophy of Science and the London School of Economics and Political Science, under the auspices of the Division of Logic, Methodology, and Philosophy of Science of the International Union of History and Philosophy of Science. $5 FMFIU $5 FTaSU $5 FTS
990219161740306576	9910919509606561	00525806	0	|	926	  	$a HATHI-IC $5 KEEPUF $9 LOCAL
990224965940306576	9910562387106561	00959985	m	0	411	20	$a Winterthur Conference. $t Report, 1973 $5 FBoU
990224965940306576	9910562387106561	00959985	m	0	490	1 	$a Winterthur Conference. Report $v 1973 $5 FTaSU
990224965940306576	9910562387106561	00959985	m	0	490	1 	$a Report, 1973 $5 FJUNF
