IZ_MMS	NZ_MMS	OCLC	TAG	FIELD
990201001060306576	9910320920406561	56808178	500  	$a Title from ebook title screen (viewed Oct. 22, 2004). $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990201001060306576	9910320920406561	56808178	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990201001060306576	9910320920406561	56808178	538  	$a Mode of access: World Wide Web. $5 FTS $5 FTaFA $5 FPeU $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990201080770306576	9910413448606561	56938931	500  	$a Includes index. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990201080770306576	9910413448606561	56938931	500  	$a Title from ebook title screen (viewed Nov. 9, 2004). $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990201080770306576	9910413448606561	56938931	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990201080770306576	9910413448606561	56938931	538  	$a Mode of access: World Wide Web. $5 FTS $5 FTaFA $5 FPeU $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990203053890306576	9910112430206561	57192417	500  	$a Title from eBook information screen (December 9, 2004). $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990203053890306576	9910112430206561	57192417	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990203053890306576	9910112430206561	57192417	538  	$a Mode of access: World Wide Web. $5 FTS $5 FTaFA $5 FPeU $5 FU $5 FJUNF $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990203055570306576	9910501487406561	53909633	500  	$a Title from e-book title screen (viewed on Dec. 15) $5 FBoU $5 FU $5 FTaFA $5 FTaSU $5 FPeU $5 FOFT $5 FJUNF $5 FMFIU $5 FFmFGC $5 FTS
990203055570306576	9910501487406561	53909633	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FBoU $5 FU $5 FTaFA $5 FTaSU $5 FPeU $5 FOFT $5 FJUNF $5 FMFIU $5 FFmFGC $5 FTS
990203055570306576	9910501487406561	53909633	538  	$a Mode of access: World Wide Web. $5 FBoU $5 FU $5 FTaFA $5 FTaSU $5 FPeU $5 FJUNF $5 FMFIU $5 FFmFGC $5 FTS
990203056090306576	9910501478506561	53909685	500  	$a Title from e-book title screen (viewed on Dec. 15, 2003.) $5 FBoU $5 FU $5 FTaFA $5 FTaSU $5 FPeU $5 FOFT $5 FJUNF $5 FMFIU $5 FFmFGC $5 FTS
990203056090306576	9910501478506561	53909685	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FBoU $5 FU $5 FTaFA $5 FTaSU $5 FPeU $5 FOFT $5 FJUNF $5 FMFIU $5 FFmFGC $5 FTS
990203056090306576	9910501478506561	53909685	538  	$a Mode of access: World Wide Web. $5 FBoU $5 FU $5 FTaFA $5 FTaSU $5 FPeU $5 FJUNF $5 FMFIU $5 FFmFGC $5 FTS
990204512130306576	9910969107106561	55969964	500  	$a Available through the Gale virtual reference library. $5 FTS
990204512130306576	9910969107106561	55969964	5050 	$a v. 1. Americans with Disabilities Act to family law -- v. 2. First amendment law to travel. $5 FTS $5 FOFT
990204512130306576	9910969107106561	55969964	506  	$a Access restricted to subscribing institutions. $5 FTS
990204512130306576	9910969107106561	55969964	530  	$a Also issued in print. $5 FTS $5 FOFT
990204512130306576	9910969107106561	55969964	533  	$a Electronic reproduction. $b Detroit : $c Gale, $d c2004. $n Mode of access: World Wide Web. $5 FTS
990204512130306576	9910969107106561	55969964	533  	$a Electronic reproduction. $b Farmington Hills, Mi: $c Gale, $d 2003. $n Available via World Wide Web. $5 FU $5 FTaSU
990204512130306576	9910969107106561	55969964	533  	$a Electronic reproduction. $b Farmington Hills, MI : $c Gale, $d c2004. $n Mode of access: World Wide Web. $5 FOFT
990204512130306576	9910969107106561	55969964	926  	$a DO NOT OFFLOAD $5 FU $9 LOCAL
990204975100306576	9910875639306561	42821732	3620 	$a 1960- $5 FBoU $5 FTaSU $5 FTS $5 FTaFA $5 FOFT
990204975100306576	9910875639306561	42821732	500  	$a Title from journal homepage screen (JSTOR, viewed on Nov. 5, 2008). $5 FOFT
990204975100306576	9910875639306561	42821732	500  	$a Title from title screen (JSTOR, viewed Mar. 11, 2004). $5 FBoU $5 FTaSU $5 FTS $5 FTaFA
990204975100306576	9910875639306561	42821732	500  	$a Latest issue consulted: 2008 (University of Chicago Press' website, viewed on Oct. 29, 2010). $5 FTaSU
990204975100306576	9910875639306561	42821732	500  	$a Latest issue consulted: 2002 (JSTOR, viewed Mar. 11, 2004). $5 FBoU $5 FTS $5 FTaFA
990204975100306576	9910875639306561	42821732	500  	$a Hein Online $5 FTaFA
990204975100306576	9910875639306561	42821732	500  	$a Editor: 1960- P.B. Kurland. $5 FBoU $5 FTaSU $5 FTS $5 FTaFA $5 FOFT
990204975100306576	9910875639306561	42821732	500  	$a At head of title, 1960- : Law School, University of Chicago. $5 FBoU $5 FTaSU $5 FTS $5 FTaFA $5 FOFT
990204975100306576	9910875639306561	42821732	506  	$a Electronic access limited to FAMU College of Law faculty, staff and students for instructional and research purposes only. $5 FTaFA
990204975100306576	9910875639306561	42821732	530  	$a Also issued in print. $5 FBoU $5 FTS $5 FTaFA
990204975100306576	9910875639306561	42821732	538  	$a Mode of access: World Wide Web. $5 FBoU $5 FTaSU $5 FTS $5 FTaFA
990204975190306576	9910460695006561	57313389	500  	$a Title from eBook title screen (viewed on Dec. 22, 2004). $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990204975190306576	9910460695006561	57313389	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990204975190306576	9910460695006561	57313389	538  	$a Mode of access: World Wide Web. $5 FTS $5 FTaFA $5 FPeU $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990205014350306576	9910460655306561	57364616	500  	$a This edition published in the Taylor & Francis e-Library, 2004. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990205014350306576	9910460655306561	57364616	500  	$a Title from e-book title screen (viewed on January 3, 2005). $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990205014350306576	9910460655306561	57364616	500  	$a This publication contains papers from Issue No. 6 of the FID Review, the official membership journal of the International Federation for Information and Documentation. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990205014350306576	9910460655306561	57364616	506  	$a Made available through NetLibrary; access may be limited to NetLibrary affiliated libraries. $5 FTS $5 FTaFA $5 FPeU $5 FOFT $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990205014350306576	9910460655306561	57364616	538  	$a Mode of access: World Wide Web. $5 FTS $5 FTaFA $5 FPeU $5 FJUNF $5 FU $5 FBoU $5 FTaSU $5 FMFIU $5 FFmFGC
990205015850306576	9910858878506561	51115226	500  	$a Title from title information screen (viewed 10 July 2003). $5 FTaSU
990205015850306576	9910858878506561	51115226	538  	$a Mode of access: World Wide Web. $5 FTaSU
990205015850306576	9910858878506561	51115226	516  	$a Text and search engine. $5 FTaSU
990205015850306576	9910858878506561	51115226	506  	$a Access restricted to FSU community. $5 FTaSU
990205015850306576	9910858878506561	51115226	530  	$a Also available in print version. $5 FTaSU
990205015850306576	9910858878506561	51115226	500  	$a Digitized Web version of printed 3rd edition (2002). $5 FTaSU
